"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"250520 Cuitegi";-;-;2;-;3;-;-;1;-;-;3;6;3;1;1;1;-;2;-;11;34
"250527 Curral de Cima";-;-;3;-;3;-;-;1;-;-;4;8;3;1;1;-;1;1;-;11;37
"250530 Curral Velho";-;-;1;-;1;-;-;-;-;-;1;4;-;-;-;-;-;-;2;3;12
"250535 Damião";-;-;-;-;2;-;-;-;-;-;3;11;2;1;1;1;1;1;-;5;28
"250540 Desterro";-;-;1;-;9;-;1;-;-;1;5;9;3;1;1;1;2;1;-;10;45
"250560 Diamante";-;-;1;-;3;-;1;-;-;-;10;11;4;1;1;2;1;2;-;15;52
"250570 Dona Inês";-;-;6;-;6;-;1;1;-;1;5;11;2;1;1;2;2;2;3;8;52
"250580 Duas Estradas";-;-;2;1;2;-;1;1;-;1;3;6;3;1;1;1;-;1;-;7;31
"250590 Emas";-;-;1;-;1;-;-;-;-;-;2;2;1;-;-;1;-;1;-;6;15
"250600 Esperança";3;2;30;5;12;5;4;6;-;14;39;48;17;2;6;4;7;11;7;46;268
"250610 Fagundes";-;-;4;-;6;-;-;-;-;-;7;10;-;-;-;1;2;2;-;21;53
"250620 Frei Martinho";-;-;1;-;1;-;-;-;-;-;2;7;2;-;2;-;-;1;-;16;32
"250625 Gado Bravo";-;-;2;1;4;-;1;-;-;6;5;9;4;-;1;1;1;1;1;6;43
"250630 Guarabira";15;21;73;27;27;18;4;25;-;68;57;137;31;13;9;11;21;26;12;170;765
"250640 Gurinhém";-;-;2;-;7;-;1;1;-;-;11;18;2;1;2;1;-;3;-;26;75
"250650 Gurjão";-;-;1;-;2;-;-;-;-;1;7;9;3;1;1;1;-;-;-;11;37
"250660 Ibiara";-;-;2;-;6;-;-;-;-;-;5;12;2;1;1;1;2;2;1;8;43
"250260 Igaracy";-;-;2;1;3;-;-;-;-;3;8;10;1;1;1;2;1;1;-;11;45
"250670 Imaculada";-;-;5;-;6;-;1;-;-;-;7;13;2;1;1;1;2;2;-;22;63
"250680 Ingá";-;-;12;-;9;-;1;-;-;3;17;35;13;2;5;-;6;3;-;50;156
"250690 Itabaiana";6;5;26;7;10;3;3;3;-;8;20;61;22;1;11;5;7;14;-;85;297
"250700 Itaporanga";3;2;17;8;11;3;3;3;-;10;23;54;14;2;7;6;8;8;-;72;254
"250710 Itapororoca";1;2;4;-;7;1;2;1;-;1;8;16;7;1;2;1;1;4;-;17;76
"250720 Itatuba";-;-;1;-;5;-;1;-;-;1;9;14;3;-;1;2;1;2;3;10;53
"250730 Jacaraú";-;-;6;-;7;-;2;1;-;1;9;16;3;1;-;1;3;5;3;17;75
"250740 Jericó";-;-;3;-;3;-;-;-;-;-;9;7;3;-;1;1;1;1;2;6;37
"250750 João Pessoa";493;357;797;500;273;579;116;313;1;3438;1066;2286;929;255;333;368;489;603;27;3722;16945
"251365 Joca Claudino";-;-;-;-;1;-;-;-;-;-;1;6;2;-;1;-;1;1;-;7;20
"250760 Juarez Távora";-;-;1;-;4;-;-;1;-;-;4;10;5;1;1;2;-;1;-;8;38
"250770 Juazeirinho";-;-;4;1;8;1;1;1;-;-;16;23;10;-;1;1;2;3;2;31;105
"250780 Junco do Seridó";-;-;2;-;3;-;-;-;-;-;4;9;4;1;1;-;1;1;2;6;34
"250790 Juripiranga";-;-;7;1;4;-;1;-;-;4;11;18;5;2;2;1;1;3;-;19;79
"250800 Juru";-;-;6;1;5;-;1;1;-;1;5;14;4;1;1;3;1;2;3;17;66
"250810 Lagoa";-;-;-;-;2;-;-;-;-;-;5;2;2;-;1;1;-;2;4;-;19
"250820 Lagoa de Dentro";-;-;7;-;4;1;1;-;-;-;5;18;5;1;1;2;-;3;-;18;66
"250830 Lagoa Seca";-;-;16;1;13;1;1;2;-;4;23;20;10;2;6;3;3;6;-;27;138
"250840 Lastro";-;-;3;1;1;-;-;-;-;-;1;8;2;1;1;-;2;1;-;7;28
"250850 Livramento";-;-;-;-;3;-;-;-;-;-;2;12;2;-;-;1;1;1;-;15;37
"250855 Logradouro";-;-;4;1;2;1;-;1;-;1;3;6;2;1;1;1;3;2;-;10;39
"250860 Lucena";-;-;4;-;7;1;1;-;-;-;6;19;3;2;2;1;3;5;-;18;72
"250870 Mãe d'Água";-;-;2;-;3;-;-;-;-;-;2;4;2;1;-;1;-;2;-;4;21
"250880 Malta";-;-;1;-;3;-;-;-;-;-;4;5;2;1;1;-;1;1;-;5;24
"250890 Mamanguape";6;5;33;16;18;13;3;7;-;20;30;115;30;4;23;10;13;14;-;202;562
"250900 Manaíra";-;-;5;-;5;-;1;-;-;-;6;19;5;-;1;1;1;2;1;15;62
"250905 Marcação";-;-;4;-;4;1;-;-;-;1;8;17;2;1;3;2;2;2;-;13;60
"250910 Mari";-;1;10;1;15;-;3;1;-;10;17;25;6;1;4;1;2;6;3;31;137
"250915 Marizópolis";-;1;-;-;3;-;-;-;-;-;10;4;3;-;1;1;2;1;-;7;33
"250920 Massaranduba";1;1;7;2;6;-;-;3;-;1;13;12;6;-;1;-;2;2;-;18;75
"250930 Mataraca";-;-;2;-;4;1;1;-;-;1;4;18;4;1;1;1;1;2;-;25;66
"250933 Matinhas";-;-;-;-;2;-;-;1;-;1;2;3;2;-;2;1;1;2;-;5;22
"250937 Mato Grosso";-;-;2;-;1;-;-;-;-;-;2;3;3;-;1;1;1;1;-;4;19
"250939 Maturéia";-;-;1;-;3;-;-;1;-;-;3;4;2;1;2;1;-;1;-;10;29
"250940 Mogeiro";-;-;9;-;6;-;1;-;-;1;14;16;4;2;2;1;1;3;1;20;81
"250950 Montadas";-;-;-;1;3;-;-;-;-;-;9;4;4;2;1;-;1;2;-;4;31
"250960 Monte Horebe";-;-;-;-;2;-;-;-;-;-;3;4;2;-;1;1;-;1;-;3;17
"250970 Monteiro";3;8;37;6;14;2;5;16;-;28;33;103;29;7;9;4;14;21;1;176;516
"250980 Mulungu";-;-;3;1;5;1;2;-;-;1;10;7;4;1;2;2;2;3;-;9;53
"250990 Natuba";-;-;4;-;5;-;-;-;-;-;5;15;3;1;2;-;1;1;1;17;55
"251000 Nazarezinho";-;-;3;-;4;-;-;-;-;-;5;11;1;-;1;2;-;1;-;11;39
"251010 Nova Floresta";-;-;1;-;5;-;-;-;-;-;3;11;4;1;1;1;2;2;-;15;46
"251020 Nova Olinda";-;-;1;-;3;-;-;-;-;-;5;10;2;1;1;1;1;2;2;12;41
"251030 Nova Palmeira";-;-;1;-;2;1;-;-;-;-;2;7;-;-;-;1;-;-;-;8;22
"251040 Olho d'Água";-;-;2;-;3;-;-;1;-;-;2;9;2;1;2;1;1;2;-;12;38
"251050 Olivedos";-;-;1;1;2;-;-;1;-;1;2;3;2;-;1;-;2;2;1;4;23
"251060 Ouro Velho";-;-;4;-;2;-;-;-;-;-;3;7;2;2;2;1;-;-;-;6;29
"251065 Parari";-;-;-;-;1;-;-;-;-;-;-;2;2;-;1;1;-;1;-;3;11
"251070 Passagem";-;-;3;-;1;-;-;-;-;-;2;8;1;-;1;1;1;1;-;7;26
"251080 Patos";15;25;97;36;46;39;8;20;-;140;122;323;75;12;25;23;40;34;-;391;1471
"251090 Paulista";-;-;9;1;6;1;1;2;-;4;13;17;5;2;2;3;-;2;-;25;93
"251100 Pedra Branca";-;-;1;-;4;-;1;-;-;-;2;6;3;1;1;1;2;2;-;9;33
"251110 Pedra Lavrada";1;1;3;-;3;-;-;-;-;-;7;15;3;1;1;-;-;1;-;16;52
"251120 Pedras de Fogo";1;1;11;1;13;2;1;-;-;3;25;36;12;3;5;4;4;8;2;38;170
"251272 Pedro Régis";-;-;4;-;-;-;-;-;-;-;5;6;1;-;1;-;-;1;3;8;29
"251130 Piancó";2;4;41;6;9;-;7;3;-;16;20;93;32;4;6;4;28;18;-;113;406
"251140 Picuí";4;4;22;5;9;-;2;10;-;25;17;40;8;3;5;5;7;7;3;60;236
"251150 Pilar";-;-;7;1;6;-;1;-;-;2;11;18;5;1;1;-;2;5;2;22;84
"251160 Pilões";-;-;2;-;3;-;1;-;-;1;5;5;2;-;1;1;1;1;1;5;29
"251170 Pilõezinhos";-;-;3;-;2;-;-;-;-;-;5;3;2;1;1;1;1;2;-;5;26
"251180 Pirpirituba";-;-;2;-;3;-;-;-;-;-;3;7;1;1;1;1;1;1;1;6;28
"251190 Pitimbu";-;-;5;1;9;1;1;-;-;-;9;21;3;2;1;1;3;5;2;21;85
"251200 Pocinhos";-;-;13;1;9;-;1;1;-;3;15;30;9;1;1;2;1;6;-;30;123
"251203 Poço Dantas";-;-;4;-;2;-;-;-;-;-;2;3;2;-;-;1;1;1;-;10;26
"251207 Poço de José de Moura";-;-;1;-;2;-;-;-;-;-;2;5;3;-;1;-;-;1;-;15;30
"251210 Pombal";5;7;28;4;12;2;3;6;-;32;32;97;15;3;7;10;10;8;1;117;399
"251220 Prata";-;-;3;1;1;-;1;-;-;-;8;6;3;-;1;1;1;1;1;10;38
"251230 Princesa Isabel";3;4;30;2;12;1;3;4;-;8;21;77;18;5;4;2;10;15;5;125;349
"251240 Puxinanã";-;1;2;2;9;-;-;1;-;2;6;10;5;1;1;-;1;1;-;11;53
"251250 Queimadas";5;6;14;5;17;5;2;3;-;14;28;58;33;1;6;4;11;9;6;105;332
"251260 Quixabá";-;-;1;-;1;-;-;-;-;-;3;2;2;1;-;2;1;1;-;4;18
"251270 Remígio";-;-;8;1;9;1;1;1;-;5;17;31;8;1;1;2;3;4;-;30;123
"251274 Riachão";-;-;2;-;2;-;-;-;-;-;2;8;1;1;1;1;1;1;-;10;30
"251275 Riachão do Bacamarte";-;-;2;-;2;-;-;-;-;-;4;5;3;-;1;1;-;2;-;7;27
"251276 Riachão do Poço";-;-;-;-;2;-;-;-;-;-;3;2;-;-;2;1;-;-;-;5;15
"251278 Riacho de Santo Antônio";-;-;2;1;1;-;-;-;-;-;3;9;2;2;-;-;1;2;1;12;36
"251280 Riacho dos Cavalos";-;-;3;-;3;-;1;-;-;-;4;14;2;-;1;1;2;3;-;10;44
"251290 Rio Tinto";-;-;15;1;10;1;2;1;-;3;20;44;7;1;3;2;2;6;-;43;161
"251300 Salgadinho";-;-;2;-;2;-;-;-;-;-;3;6;1;1;1;1;1;2;1;7;28
"251310 Salgado de São Félix";-;-;3;1;5;-;1;1;-;-;7;15;5;2;1;2;1;2;-;9;55
"251315 Santa Cecília";-;-;-;-;3;-;-;-;-;-;2;6;1;-;1;1;-;1;-;6;21
"251320 Santa Cruz";-;-;3;-;3;-;-;-;-;1;9;11;2;-;1;3;-;2;-;10;45
"251330 Santa Helena";-;-;-;-;5;-;-;-;-;-;7;9;7;-;1;2;1;1;-;15;48
"251335 Santa Inês";-;-;1;-;2;-;1;-;-;-;3;7;4;1;2;1;3;4;-;7;36
"251340 Santa Luzia";1;3;24;4;6;2;1;1;-;7;15;39;9;3;7;1;8;7;-;59;197
"251370 Santa Rita";36;17;82;25;40;40;3;28;-;201;78;291;71;17;28;20;31;21;-;436;1465
"251380 Santa Teresinha";-;-;2;-;2;-;-;-;-;6;3;11;3;-;1;-;-;-;-;9;37
"251350 Santana de Mangueira";-;-;1;-;4;-;-;-;-;-;4;9;1;1;1;1;1;2;1;9;35
"251360 Santana dos Garrotes";-;-;3;-;4;-;1;-;-;-;4;10;2;1;1;1;2;2;1;19;51
"251385 Santo André";-;-;-;-;1;-;-;-;-;-;2;8;3;1;2;1;-;1;2;11;32
"251392 São Bentinho";-;-;3;-;5;-;-;1;-;3;7;4;2;1;1;1;-;2;-;7;37
"251390 São Bento";2;3;15;2;15;1;5;3;-;14;30;60;16;3;7;4;6;11;2;61;260
"251396 São Domingos";-;-;-;-;2;-;-;-;-;-;3;2;1;-;1;2;2;1;-;3;17
"251394 São Domingos do Cariri";-;-;4;1;1;-;-;-;-;-;2;4;1;-;-;1;-;2;1;5;22
"251398 São Francisco";-;-;3;-;2;-;-;-;-;-;5;3;3;1;2;-;1;1;-;8;29
"251400 São João do Cariri";-;-;2;-;2;-;1;-;-;-;2;11;2;-;1;1;1;2;1;9;35
"250070 São João do Rio do Peixe";-;-;6;1;8;-;1;2;-;4;15;25;6;-;2;3;4;3;-;32;112
"251410 São João do Tigre";-;-;2;-;2;-;-;-;-;-;6;5;1;-;1;2;-;1;-;3;23
"251420 São José da Lagoa Tapada";-;1;1;-;4;-;-;1;-;1;4;14;4;-;1;3;-;-;-;13;47
"251430 São José de Caiana";-;-;2;1;2;-;-;-;-;1;6;7;2;-;2;1;2;-;-;10;36
"251440 São José de Espinharas";-;-;2;-;2;-;-;-;-;-;2;9;3;1;1;2;2;3;-;12;39
"251450 São José de Piranhas";-;-;8;1;10;-;1;1;-;-;11;28;5;1;1;1;2;3;-;39;112
"251455 São José de Princesa";-;-;2;-;2;-;-;-;-;-;2;4;1;-;1;-;-;2;-;8;22
"251460 São José do Bonfim";-;-;-;-;2;-;-;-;-;-;2;4;1;-;-;-;-;1;1;5;16
"251465 São José do Brejo do Cruz";-;-;2;-;1;-;-;-;-;-;1;3;1;1;1;-;1;1;-;6;18
"251470 São José do Sabugi";-;-;3;-;3;-;1;-;-;-;5;14;2;1;1;1;1;3;-;11;46
"251480 São José dos Cordeiros";-;-;-;-;2;-;-;-;-;-;2;3;3;1;1;1;-;1;-;3;17
"251445 São José dos Ramos";-;1;3;-;3;-;-;1;-;-;4;7;3;-;2;-;1;1;-;16;42
"251490 São Mamede";1;3;9;1;3;-;-;1;-;3;7;20;4;-;1;2;1;1;-;17;74
"251500 São Miguel de Taipu";-;-;5;1;3;2;1;-;-;-;6;10;5;-;2;1;1;2;-;10;49
"251510 São Sebastião de Lagoa de Roça";-;-;2;-;5;1;1;-;-;1;10;15;4;-;1;1;2;4;4;6;57
"251520 São Sebastião do Umbuzeiro";-;-;2;-;2;-;-;-;-;-;9;5;1;-;1;1;-;1;1;7;30
"251540 São Vicente do Seridó";-;-;6;-;5;-;-;-;-;-;7;16;3;1;1;1;1;1;2;15;59
"251530 Sapé";-;-;22;2;19;3;4;2;-;12;28;76;16;6;6;3;13;10;-;88;310
"251550 Serra Branca";1;1;12;-;5;1;-;-;-;8;7;16;7;1;3;2;1;5;3;24;97
"251560 Serra da Raiz";-;-;2;-;2;-;-;-;-;-;3;5;2;-;1;1;-;1;-;8;25
"251570 Serra Grande";-;-;2;-;2;-;-;-;-;-;2;8;1;-;1;-;1;1;-;11;29
"251580 Serra Redonda";-;-;1;-;5;-;-;-;-;-;6;13;2;1;1;1;1;2;-;6;39
"251590 Serraria";-;1;3;1;3;1;1;1;-;3;3;15;4;-;3;1;1;2;-;25;68
"251593 Sertãozinho";-;-;2;-;2;-;-;-;-;-;2;5;3;1;1;2;1;1;-;8;28
"251597 Sobrado";-;-;1;-;3;-;-;1;-;-;5;6;4;2;1;1;1;2;1;6;34
"251600 Solânea";1;4;11;2;11;3;1;4;-;12;27;29;7;2;3;-;1;4;-;33;155
"251610 Soledade";-;-;9;1;6;1;-;3;-;7;15;26;3;1;1;1;3;4;3;33;117
"251615 Sossêgo";-;-;-;-;2;-;-;-;-;-;2;3;2;-;1;1;1;1;2;4;19
"251620 Sousa";10;19;63;17;28;6;6;11;-;70;42;134;39;13;16;10;33;25;2;197;741
"251630 Sumé";1;3;6;2;6;1;2;3;-;13;19;27;8;1;3;2;1;2;2;35;137
"251640 Tacima";-;-;-;-;4;-;-;1;-;-;7;5;1;-;1;-;1;1;5;9;35
"251650 Taperoá";1;3;10;1;7;1;1;1;-;3;16;39;3;2;2;2;3;3;-;60;158
"251660 Tavares";-;-;8;-;7;1;-;1;-;-;7;21;5;1;5;2;1;4;1;42;106
"251670 Teixeira";-;-;3;1;6;1;1;-;-;-;10;17;5;1;3;2;3;1;-;21;75
"251675 Tenório";-;-;-;1;2;-;-;-;-;-;5;3;2;-;1;1;-;1;-;3;19
"251680 Triunfo";-;-;4;-;4;-;-;1;-;-;5;14;3;-;-;-;1;1;-;20;53
"251690 Uiraúna";2;1;11;1;9;1;1;2;-;3;12;47;9;1;3;3;3;3;-;36;148
"251700 Umbuzeiro";-;-;7;1;5;1;1;1;-;1;9;15;4;1;3;2;2;3;-;20;76
"251710 Várzea";-;-;3;1;1;1;1;-;-;1;2;9;3;2;1;1;1;3;-;10;40
"251720 Vieirópolis";-;-;2;-;4;-;-;-;-;-;3;9;1;-;-;1;1;1;-;11;33
"250550 Vista Serrana";-;-;2;-;2;-;-;-;-;-;3;3;2;-;-;1;1;1;-;10;25
"251740 Zabelê";-;-;2;-;1;-;-;-;-;-;1;2;2;-;1;-;1;2;-;7;19
"260005 Abreu e Lima";9;2;36;27;27;29;12;8;-;49;52;82;33;14;4;10;14;40;-;140;588
"260010 Afogados da Ingazeira";4;21;57;28;15;16;7;13;-;69;48;93;33;11;9;11;12;17;-;102;566
"260020 Afrânio";-;2;10;2;10;2;3;2;-;7;12;32;5;1;3;4;3;3;1;53;155
"260030 Agrestina";3;4;20;2;12;2;4;1;-;10;31;37;17;3;7;5;10;13;1;69;251
"260040 Água Preta";4;2;9;1;13;1;1;1;-;4;16;28;5;2;3;-;3;5;-;45;143
"260050 Águas Belas";-;-;13;-;13;-;2;-;-;1;14;40;8;-;4;4;4;4;-;70;177
"260060 Alagoinha";1;-;4;-;7;-;-;-;-;-;7;23;4;1;3;2;2;2;1;38;95
"260070 Aliança";1;-;7;2;12;1;2;1;-;2;19;24;10;4;3;1;4;5;-;45;143
"260080 Altinho";-;-;14;1;8;-;1;1;-;2;10;18;3;-;3;1;3;3;-;33;101
"260090 Amaraji";-;-;7;-;9;-;1;1;-;3;12;21;2;2;2;6;2;4;-;31;103
"260100 Angelim";-;-;3;-;5;1;1;1;-;-;16;16;3;-;1;-;3;3;-;27;80
"260105 Araçoiaba";-;-;4;1;6;-;1;2;-;2;6;13;6;2;1;1;2;2;-;42;91
"260110 Araripina";6;11;35;9;23;9;3;12;-;35;29;62;19;6;7;3;7;8;6;121;411
"260120 Arcoverde";12;16;59;31;21;27;7;17;-;117;60;194;53;15;17;20;24;39;10;346;1085
"260130 Barra de Guabiraba";-;-;9;-;7;1;1;2;-;3;11;14;7;1;2;-;1;2;-;28;89
"260140 Barreiros";4;5;13;3;11;1;1;1;-;6;9;30;9;2;3;-;1;5;7;43;154
"260150 Belém de Maria";-;-;5;-;4;-;-;1;-;1;5;18;3;-;1;1;1;1;-;25;66
"260160 Belém do São Francisco";-;-;12;-;7;-;-;-;-;-;5;26;1;-;2;3;2;2;1;52;113
"260170 Belo Jardim";3;6;21;6;17;5;1;5;-;23;34;75;15;4;6;8;5;11;1;122;368
"260180 Betânia";-;-;9;-;4;-;1;1;-;1;8;13;2;-;1;1;-;1;2;19;63
"260190 Bezerros";8;4;30;6;20;4;5;7;-;26;38;61;23;5;4;2;8;10;3;110;374
"260200 Bodocó";-;-;17;-;11;1;2;2;-;6;11;24;11;2;4;-;9;5;2;34;141
"260210 Bom Conselho";1;2;21;1;16;4;2;2;-;-;31;36;9;2;2;2;6;5;-;78;220
"260220 Bom Jardim";-;-;14;1;12;1;1;1;-;4;16;28;11;3;3;2;3;3;2;49;154
"260230 Bonito";3;2;17;2;11;4;1;1;-;5;23;31;6;2;2;2;2;4;3;51;172
"260240 Brejão";-;1;6;-;4;1;1;-;-;-;5;14;3;1;1;3;1;3;-;23;67
"260250 Brejinho";-;-;6;-;4;1;-;1;-;3;5;9;3;-;2;1;-;1;1;15;52
"260260 Brejo da Madre de Deus";1;-;17;1;13;1;-;1;-;2;37;35;7;-;3;3;3;6;-;71;201
"260270 Buenos Aires";-;-;5;2;6;-;1;-;-;2;8;15;4;-;2;3;1;1;1;16;67
"260280 Buíque";-;-;17;4;11;2;1;-;-;1;6;42;5;2;3;3;2;4;-;45;148
"260290 Cabo de Santo Agostinho";54;46;198;58;63;89;19;41;-;368;175;370;118;40;45;31;59;55;12;813;2654
"260300 Cabrobó";1;1;16;-;11;-;1;3;-;2;17;34;7;-;3;4;6;10;7;60;183
"260310 Cachoeirinha";-;1;10;1;7;1;2;1;-;3;16;16;4;-;2;1;1;2;-;30;98
"260320 Caetés";1;1;17;1;11;1;-;1;-;2;14;26;8;4;5;2;1;5;-;56;156
"260330 Calçado";-;-;6;1;5;-;1;-;-;-;9;20;4;1;2;-;2;1;-;22;74
"260340 Calumbi";-;-;2;1;2;-;-;-;-;-;6;8;2;-;-;1;-;-;1;7;30
"260345 Camaragibe";11;1;84;22;48;34;23;19;-;40;108;178;29;12;18;8;34;65;22;247;1003
"260350 Camocim de São Félix";-;1;7;1;7;1;-;1;-;2;8;18;2;1;1;3;1;3;-;32;89
"260360 Camutanga";-;-;7;-;3;-;-;-;-;-;3;13;2;1;1;-;-;2;2;22;56
"260370 Canhotinho";2;2;8;2;10;1;1;1;-;4;18;26;4;1;1;2;4;6;2;28;123
"260380 Capoeiras";-;-;7;1;7;1;1;1;-;4;9;19;4;-;2;2;2;2;-;18;80
"260390 Carnaíba";2;1;8;1;9;-;1;-;-;2;8;26;3;2;1;2;3;3;-;37;109
"260392 Carnaubeira da Penha";-;-;7;-;2;-;1;-;-;1;7;11;3;-;-;2;-;1;-;35;70
"260400 Carpina";5;5;43;14;20;13;5;18;-;97;50;74;47;5;14;4;12;31;-;153;610
"260410 Caruaru";206;129;444;108;78;218;27;102;-;993;375;1086;365;71;138;121;130;171;22;2139;6923
"260415 Casinhas";-;-;4;2;6;1;1;1;-;2;7;15;4;1;1;3;1;2;-;33;84
"260420 Catende";-;-;3;1;10;-;1;2;-;3;14;18;2;2;2;-;2;4;4;13;81
"260430 Cedro";-;-;8;-;5;2;-;1;-;1;10;18;4;-;1;1;1;2;1;14;69
"260440 Chã de Alegria";-;-;9;1;5;1;1;1;-;1;4;13;4;1;1;1;1;1;-;29;74
"260450 Chã Grande";1;2;17;1;13;-;1;-;-;1;13;22;5;1;3;2;5;4;-;45;136
"260460 Condado";-;-;8;-;13;-;-;-;-;-;15;19;7;3;2;-;2;2;-;37;108
"260470 Correntes";1;3;6;-;8;1;-;-;-;2;9;18;3;1;1;2;2;2;-;31;90
"260480 Cortês";2;1;11;-;5;-;1;2;-;2;6;20;5;-;2;2;1;3;-;28;91
"260490 Cumaru";-;-;9;1;12;-;1;1;-;2;10;19;2;1;2;2;-;2;-;31;95
"260500 Cupira";-;-;9;1;9;-;2;1;-;4;18;30;8;1;6;3;2;2;-;46;142
"260510 Custódia";2;3;13;3;13;2;1;1;-;3;20;37;4;2;2;1;2;4;-;78;191
"260515 Dormentes";-;-;14;3;8;-;1;4;-;6;15;23;2;-;1;3;3;3;2;49;137
"260520 Escada";3;9;20;6;18;2;2;3;-;29;24;43;15;5;6;3;4;14;-;91;297
"260530 Exu";-;1;13;-;11;3;2;1;-;4;19;27;6;1;2;2;6;4;4;33;139
"260540 Feira Nova";1;1;14;1;9;1;3;-;-;2;12;30;9;1;3;3;1;6;-;46;143
"260545 Fernando de Noronha";-;-;9;1;1;1;1;1;-;1;2;15;2;1;1;1;2;3;-;13;55
"260550 Ferreiros";-;-;3;-;6;-;-;-;-;1;5;8;2;1;1;1;-;1;1;17;47
"260560 Flores";-;-;9;-;8;-;-;1;-;1;13;15;2;1;1;-;2;1;-;30;84
"260570 Floresta";1;2;12;2;8;-;1;1;-;-;13;27;6;2;2;3;3;3;-;39;125
"260580 Frei Miguelinho";-;-;9;-;5;-;1;-;-;-;7;16;2;1;3;-;1;2;-;31;78
"260590 Gameleira";-;-;10;-;8;-;2;1;-;1;8;28;5;1;3;2;2;5;-;43;119
"260600 Garanhuns";23;49;131;48;39;39;9;35;-;298;168;255;82;26;33;20;36;63;3;519;1876
"260610 Glória do Goitá";-;-;20;2;9;3;2;2;-;2;14;28;3;2;3;-;2;4;-;58;154
"260620 Goiana";7;19;66;28;31;18;5;12;-;73;98;160;33;12;22;11;25;27;1;252;900
"260630 Granito";-;1;7;-;3;-;-;1;-;-;4;10;2;1;1;1;-;3;-;15;49
"260640 Gravatá";3;5;39;13;21;9;3;13;-;46;49;61;15;9;9;8;9;26;2;107;447
"260650 Iati";1;1;8;1;11;-;1;1;-;2;14;14;3;-;2;1;1;2;-;38;101
"260660 Ibimirim";-;2;5;2;13;-;-;1;-;1;22;26;3;1;2;2;1;2;3;52;138
"260670 Ibirajuba";-;-;5;-;3;-;-;1;-;-;5;10;2;-;2;1;-;1;-;14;44
"260680 Igarassu";3;2;87;11;31;35;12;8;-;62;48;126;21;7;9;12;11;34;1;245;765
"260690 Iguaracy";-;-;4;-;5;-;-;-;-;1;6;14;2;1;4;2;2;2;2;27;72
"260760 Ilha de Itamaracá";-;-;23;-;9;1;9;-;-;2;14;40;6;-;2;6;7;15;-;74;208
"260700 Inajá";-;1;8;-;6;-;1;-;-;1;6;21;3;1;-;1;2;2;-;40;93
"260710 Ingazeira";-;-;4;-;2;-;-;-;-;-;3;9;-;-;1;1;1;2;-;15;38
"260720 Ipojuca";11;2;146;30;22;30;10;18;-;99;87;146;26;12;10;13;16;17;-;432;1127
"260730 Ipubi";-;2;5;1;11;-;2;1;-;2;15;25;12;1;4;1;6;4;-;45;137
"260740 Itacuruba";-;-;4;-;1;-;1;-;-;-;3;8;2;-;1;-;2;2;-;14;38
"260750 Itaíba";-;-;8;-;10;-;1;1;-;2;11;25;4;1;1;1;-;2;-;38;105
"260765 Itambé";-;2;18;1;13;3;2;2;-;4;23;29;15;2;4;-;3;9;-;45;175
"260770 Itapetim";1;1;3;-;7;1;1;1;-;1;10;13;12;1;6;1;3;4;-;24;90
"260775 Itapissuma";-;1;17;3;11;2;4;1;-;6;15;27;8;3;5;4;2;9;-;64;182
"260780 Itaquitinga";-;-;5;-;6;-;1;-;-;-;5;19;4;1;3;2;2;5;-;21;74
"260790 Jaboatão dos Guararapes";80;44;512;166;149;306;23;79;1;754;401;647;202;77;79;66;88;135;-;1282;5091
"260795 Jaqueira";-;-;4;-;5;1;1;2;-;1;6;16;2;-;3;2;3;2;1;28;77
"260800 Jataúba";-;-;10;1;6;1;1;1;-;2;8;23;3;1;1;2;1;3;-;22;86
"260805 Jatobá";1;1;7;2;5;1;1;2;-;5;11;21;4;2;1;1;-;3;2;24;94
"260810 João Alfredo";-;-;14;1;11;2;1;1;-;2;19;23;6;4;1;1;1;2;-;48;137
"260820 Joaquim Nabuco";-;-;5;-;6;-;1;-;-;-;6;16;5;1;3;1;1;1;-;27;73
"260825 Jucati";-;-;14;1;5;1;1;1;-;1;7;18;3;1;2;2;1;5;-;31;94
"260830 Jupi";-;-;7;-;8;-;-;-;-;-;11;16;3;-;-;3;-;1;-;23;72
"260840 Jurema";-;-;7;1;6;-;2;1;-;-;4;16;7;2;3;2;2;3;1;27;84
"260850 Lagoa de Itaenga";1;1;6;3;9;2;2;2;-;2;12;21;2;2;1;1;3;5;-;50;125
"260845 Lagoa do Carro";-;-;13;2;8;1;1;-;-;3;15;24;5;1;5;1;1;3;-;50;133
"260860 Lagoa do Ouro";1;2;5;1;6;1;1;-;-;7;12;19;2;1;2;2;1;3;-;38;104
"260870 Lagoa dos Gatos";-;-;15;-;6;-;1;1;-;-;3;21;3;-;1;-;2;1;-;46;100
"260875 Lagoa Grande";-;-;8;4;18;1;1;1;-;1;10;34;5;2;1;2;2;5;-;54;149
"260880 Lajedo";-;2;11;2;12;3;2;1;-;3;19;34;10;3;5;1;2;6;-;64;180
"260890 Limoeiro";9;13;38;18;19;15;5;24;-;86;62;117;33;17;14;14;11;41;19;157;712
